"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Population, male","SP.POP.TOTL.MA.IN","904881","936945","969185","1001432","1033505","1065208","1096362","1126876","1156611","1184777","1210380","1234438","1258836","1284119","1310217","1337130","1367477","1402332","1439570","1467161","1482680","1496626","1510578","1524929","1540992","1557519","1573120","1588431","1600313","1643888","1698698","1729672","1708594","1649380","1605180","1576984","1563082","1547568","1523824","1492700","1505674","1493713","1486459","1477635","1468638","1459166","1449250","1439098","1427063","1412894","1398412","1388724","1388000","1388125","1385447","1382219","1377472","1372328","1369034","1368115","1369076","1370352","1374836","1375071","1408477",
"American Samoa","ASM","Population, male","SP.POP.TOTL.MA.IN","10506","10775","11089","11422","11774","12146","12516","12883","13266","13653","13987","14252","14492","14722","14951","15216","15510","15808","16108","16385","16791","17406","18098","18809","19537","20290","21063","21854","22665","23499","24244","24852","25409","25952","26484","27003","27508","27999","28468","28899","29168","29227","29196","29122","29018","28890","28743","28590","28419","28231","28057","27886","27684","27440","27163","26861","26532","26180","25810","25421","25170","24888","24430","24001","23602",
"Antigua and Barbuda","ATG","Population, male","SP.POP.TOTL.MA.IN","26556","27038","27442","27848","28254","28651","29032","29410","29799","30210","30517","30610","30538","30384","30228","30102","30048","30088","30163","30269","30382","30448","30494","30558","30614","30639","30648","30649","30656","30683","30721","30966","31393","31806","32252","32738","33257","33795","34313","34797","35306","35809","36258","36684","37105","37553","38051","38603","39208","39839","40411","40916","41379","41777","42124","42443","42721","42969","43200","43424","43667","43919","44170","44408","44633",
"Australia","AUS","Population, male","SP.POP.TOTL.MA.IN","5192631","5295783","5421149","5521204","5628081","5737431","5867440","5939407","6043351","6169940","6290474","6503400","6621242","6720804","6889712","6969644","7032951","7105492","7181751","7253654","7337415","7450293","7581428","7687228","7780438","7886038","8001483","8121372","8251555","8389840","8511912","8616571","8708711","8782324","8864100","8960227","9064930","9157731","9244018","9341084","9444852","9565297","9675755","9789254","9896271","10019929","10159956","10353814","10572156","10798554","10968398","11119680","11313314","11504656","11668306","11826934","12005031","12202290","12387923","12572523","12726843","12744892","12907891","13223705","13498584",
"Austria","AUT","Population, male","SP.POP.TOTL.MA.IN","3282648","3302795","3325793","3350571","3376780","3403787","3433917","3465941","3487886","3502537","3517964","3537464","3562777","3587564","3594195","3580805","3572880","3575163","3572650","3566276","3567435","3580524","3586663","3583143","3585911","3591378","3598396","3605608","3616056","3639012","3675414","3721201","3769751","3806948","3825963","3834055","3840488","3846097","3852021","3862035","3874612","3894042","3918315","3940967","3968539","3999420","4022015","4036049","4049474","4061388","4072366","4088322","4110714","4139328","4177739","4236391","4292484","4325497","4347840","4368019","4386847","4406456","4449465","4494691","4519007",
"Azerbaijan","AZE","Population, male","SP.POP.TOTL.MA.IN","1842740","1918256","1980238","2043714","2116849","2184945","2251973","2314194","2372719","2430335","2484994","2540665","2595172","2646793","2697409","2745586","2788921","2829606","2870977","2914827","2961623","3012620","3065174","3119117","3171059","3214797","3256706","3300087","3346359","3399314","3449830","3499175","3554578","3610338","3650605","3674347","3694179","3712724","3730025","3756249","3793539","3830440","3866571","3903101","3945223","3994600","4047790","4102912","4198756","4294399","4352435","4416337","4482635","4548349","4612413","4674067","4737324","4798347","4852143","4900577","4936921","4961161","4966581","4975494","5001274",
"Burundi","BDI","Population, male","SP.POP.TOTL.MA.IN","1336288","1371997","1408782","1440089","1483359","1526271","1564626","1606357","1646592","1684026","1722221","1765972","1764218","1759612","1805481","1852488","1895949","1946925","2005844","2057930","2148515","2240110","2298146","2362044","2421279","2475282","2523117","2582319","2640284","2692627","2750135","2808318","2885410","2793450","2811034","2987231","2988738","2987957","3046083","3120819","3186803","3267954","3362193","3471560","3605444","3744034","3883501","4032117","4204483","4426023","4641033","4812401","4989576","5174376","5355162","5479352","5575483","5709445","5886059","6084180","6264949","6438864","6616267","6799975","6978594",
"Belgium","BEL","Population, male","SP.POP.TOTL.MA.IN","4483448","4495485","4512235","4546331","4589703","4631641","4663001","4688957","4707135","4719902","4724134","4732198","4749707","4763572","4777732","4790869","4798712","4803854","4807693","4811658","4816500","4815710","4813986","4813548","4813302","4814366","4816303","4821014","4836747","4855131","4870370","4889735","4911505","4931962","4947520","4956748","4965281","4977197","4988157","4999840","5011966","5030117","5054613","5077084","5099315","5127655","5162632","5202598","5246271","5293207","5347692","5421180","5456715","5483424","5508955","5546695","5579303","5601766","5629590","5663142","5690995","5713093","5756528","5810299","5856543",
"Benin","BEN","Population, male","SP.POP.TOTL.MA.IN","1192304","1213677","1236778","1261327","1287274","1314605","1343249","1373149","1404322","1436795","1470680","1506061","1543013","1581552","1621681","1663597","1707453","1753305","1801140","1851524","1905156","1961925","2021254","2082564","2146091","2212187","2280915","2352526","2427113","2504483","2584695","2667883","2753956","2882269","2995311","3061771","3145946","3243554","3348412","3456727","3567832","3681640","3798523","3919530","4044950","4179151","4313689","4447216","4587507","4730891","4877876","5028977","5184260","5343394","5507544","5676385","5848391","6022608","6197560","6372298","6546526","6720675","6896459","7074605","7252565",
"Burkina Faso","BFA","Population, male","SP.POP.TOTL.MA.IN","2430840","2459689","2489327","2520212","2552887","2587933","2624657","2663054","2703488","2744961","2787666","2830232","2873414","2919605","2970412","3026607","3088615","3159265","3237671","3321620","3411581","3505992","3604389","3709019","3819291","3932740","4046088","4158370","4271582","4386593","4503814","4618195","4731288","4848755","4971592","5100223","5231545","5367626","5520905","5690962","5870057","6059631","6258423","6465522","6681034","6903047","7128374","7351309","7571230","7795583","8027268","8269076","8525150","8787755","9056087","9332364","9614040","9897120","10170922","10433333","10693067","10953636","11211359","11468763","11730086",
"Bangladesh","BGD","Population, male","SP.POP.TOTL.MA.IN","26950420","27711544","28518261","29352670","30213467","31101431","32012189","32959418","33936209","34908747","35832997","36329727","36891348","37968306","39063123","40092000","41098594","42109012","43123376","44148270","45190244","46345130","47625418","48910618","50170776","51406265","52610279","53783431","54921371","56037234","57142542","58232652","59324411","60408992","61506885","62624821","63738280","64884483","66073396","67292204","68477112","69527199","70465423","71345034","72159664","72902576","73574026","74183979","74737613","75243836","75714374","76236811","76826473","77407636","77971658","78528055","79091607","79723871","80431108","81162190","81878880","82572341","83399395","84357711","85343656",
"Bulgaria","BGR","Population, male","SP.POP.TOTL.MA.IN","3928360","3966913","4002357","4035494","4069174","4101183","4130087","4156053","4185420","4217159","4244351","4267032","4285860","4307132","4334862","4354773","4372378","4393386","4395998","4399660","4415127","4427407","4437985","4445840","4452568","4444586","4435104","4437283","4438197","4381856","4297812","4249950","4198615","4159633","4140689","4117194","4091461","4062714","4031474","4005012","3982113","3900494","3815034","3784300","3754879","3725725","3696739","3669333","3643766","3620656","3597346","3574951","3555090","3483960","3440409","3395430","3350042","3303879","3256565","3208578","3173938","3151113","3129809","3120023","3118451",
"Bahrain","BHR","Population, male","SP.POP.TOTL.MA.IN","88130","91692","95293","98940","102645","106133","109340","112501","116350","120628","124498","130011","138061","146968","156128","165522","175121","184894","194801","204809","214881","224053","232133","240218","248664","257485","266667","276177","285962","295920","305909","298576","306315","314355","322591","331018","339659","348530","357640","367007","376640","392159","424988","461123","500330","543026","589672","640782","682850","731626","763640","744580","757998","783298","812848","847287","889896","946410","944796","927089","917338","932714","944896","978986","985627",
"Bahamas, The","BHS","Population, male","SP.POP.TOTL.MA.IN","56791","60056","63556","67220","70691","74037","77652","81524","85629","89758","93440","96516","99161","101516","103769","106033","108355","110717","113053","115307","117399","119338","121243","123178","125141","127142","129176","131228","133329","135525","137754","139998","142435","144979","147394","149688","151898","154023","156060","157988","159881","161677","163377","165143","166958","168756","170685","172780","174802","176774","178700","180440","181988","183430","184802","186028","187079","187983","188788","189495","189876","189918","190243","190909","191597",
"Bosnia and Herzegovina","BIH","Population, male","SP.POP.TOTL.MA.IN","1551526","1580407","1610606","1639272","1666254","1691927","1716470","1739648","1760860","1779771","1796262","1814764","1837435","1860832","1884040","1907093","1929720","1951597","1972527","1992594","2012272","2032014","2051558","2070731","2089387","2107137","2123474","2138012","2150555","2160776","2168609","2174066","2055032","1875654","1776700","1768506","1847562","1918819","1954290","1974843","1989795","1999874","2004285","1999669","1980965","1958617","1941745","1916526","1883405","1849480","1815435","1780886","1745487","1716448","1694274","1672168","1650649","1630145","1610395","1590487","1568697","1543349","1524174","1514667","1505794",
"Belarus","BLR","Population, male","SP.POP.TOTL.MA.IN","3668689","3715355","3764780","3816055","3867220","3916954","3966755","4017666","4068067","4116432","4160289","4200453","4239566","4276423","4309335","4336536","4360685","4387966","4419188","4450420","4482359","4517372","4551706","4586152","4620567","4653471","4688179","4723379","4743369","4764837","4778241","4783553","4799050","4814559","4797285","4770321","4757275","4740985","4722148","4699507","4673786","4647012","4613786","4576905","4541339","4505518","4473220","4449406","4431895","4419943","4409392","4397384","4389605","4388786","4393235","4401973","4408990","4406130","4398597","4391413","4372320","4334726","4299910","4277430","4256316",
"Belize","BLZ","Population, male","SP.POP.TOTL.MA.IN","45202","46422","47697","49090","50597","52193","53864","55601","57378","59105","60523","61625","62632","63595","64545","65718","67138","68602","70090","71651","73414","75330","77249","79152","81048","82945","84840","86747","88679","90659","92663","94692","96703","98667","100774","103312","106416","110012","113898","117863","121747","125491","129195","132955","136776","140659","144587","148554","152543","156528","160364","164071","167797","171561","175354","179203","183673","188210","191765","194425","196764","198902","202913","207487","210442",
"Bermuda","BMU","Population, male","SP.POP.TOTL.MA.IN","21585","22069","22687","23291","23874","24450","25043","25601","26117","26643","27098","27331","27405","27454","27487","27504","27461","27377","27291","27201","27204","27343","27512","27678","27848","28010","28153","28312","28500","28689","28884","29072","29256","29437","29601","29739","29855","30020","30250","30494","30694","30828","30947","31050","31108","31159","31192","31269","31433","31603","31688","31652","31570","31520","31512","31498","31485","31495","31543","31604","31671","31732","31733","31680","31619",
"Bolivia","BOL","Population, male","SP.POP.TOTL.MA.IN","1823333","1861140","1900199","1940658","1982470","2025663","2070352","2116725","2164849","2214527","2265518","2317843","2371472","2426507","2483153","2541282","2601445","2663567","2726948","2791355","2856512","2922296","2988521","3055250","3122838","3191200","3260602","3331699","3404600","3478867","3554161","3630416","3706602","3785316","3866779","3947764","4028588","4108924","4188785","4268890","4348722","4427863","4504099","4578603","4654692","4732198","4811974","4893397","4975069","5057042","5139321","5221815","5304439","5386941","5469087","5550936","5632455","5713458","5793932","5873939","5940065","5989944","6053750","6135731","6219215",
"Brazil","BRA","Population, male","SP.POP.TOTL.MA.IN","36288091","37384876","38502703","39639715","40788924","41939794","43086541","44225494","45358477","46496107","47646494","48813912","50003560","51217065","52448501","53701639","54988043","56309647","57663892","59045469","60450776","61871382","63294817","64722063","66150370","67572311","68975689","70352243","71703533","73029307","74332633","75601836","76851449","78081674","79285303","80487831","81688609","82884670","84099364","85304528","86454826","87555739","88614174","89629542","90610756","91571959","92509047","93412519","94272742","95081284","95844360","96587069","97333272","98085091","98839567","99587454","100309738","101001719","101654523","102280732","102844473","103236465","103548935","103913061","104295118",
"Barbados","BRB","Population, male","SP.POP.TOTL.MA.IN","110423","111799","113067","114457","115877","117318","118810","120049","120957","121590","121736","121785","122171","122630","122972","123279","123513","123700","123749","123689","123743","123886","124072","124287","124508","124709","124855","124930","124922","124851","125004","125404","125782","126087","126297","126415","126437","126390","126324","126288","126085","126256","126982","127660","128282","128838","129327","129821","130399","130964","131479","131975","132420","132824","133204","133566","133907","134231","134537","134819","135102","135357","135411","135364","135423",
"Brunei Darussalam","BRN","Population, male","SP.POP.TOTL.MA.IN","47025","49482","51967","54587","57401","60313","63295","66339","69412","72480","74781","76600","79062","81928","84868","87899","91025","94234","97347","100370","103493","106734","110032","113410","116969","120699","124598","128398","132072","135842","139662","143451","147141","150777","154411","158039","161659","165269","168870","172463","176048","179582","183023","186347","189530","192568","195465","198323","201297","204424","207657","210931","214195","217409","220570","223684","226737","229710","232596","235393","238104","240401","242167","243889","245699",
"Bhutan","BTN","Population, male","SP.POP.TOTL.MA.IN","115894","119342","123095","127128","131323","135720","140333","145166","150227","155524","161036","166736","172621","178699","184973","191459","198171","205108","212273","219600","227014","234509","242087","249814","257708","265734","273903","282211","290593","299031","306907","311988","300171","287816","287410","283737","283862","288714","294029","301841","311481","320984","330363","339572","348566","356045","361136","365211","369262","373320","377418","381600","385887","390239","394538","398669","402740","406098","408571","410862","413208","415688","418190","420683","423047",
"Botswana","BWA","Population, male","SP.POP.TOTL.MA.IN","248218","253628","259300","265260","271476","274435","273969","273390","272769","272163","271622","275498","286800","302938","320743","339512","360034","382145","409298","437967","456229","472409","492377","510517","528899","547565","566391","585092","602904","620015","637115","654221","672808","692898","712916","732303","750856","768879","786672","804452","822409","840102","856692","872591","888696","905450","923229","942101","962012","982815","1004380","1024694","1042920","1060428","1077545","1094542","1111588","1128743","1145953","1163271","1180817","1199123","1217995","1236969","1256565",
"Central African Republic","CAF","Population, male","SP.POP.TOTL.MA.IN","841827","858032","874898","892477","910856","930121","950385","971731","994235","1017628","1040804","1062959","1084293","1105578","1127400","1149829","1168116","1182122","1196521","1211373","1226713","1242632","1259111","1276117","1293699","1311812","1330419","1349783","1373644","1408886","1452306","1497382","1544641","1593563","1642980","1687206","1730276","1777357","1825223","1874983","1926591","1969134","2011946","2060297","2105150","2153186","2197584","2240179","2288359","2250532","2208874","2244083","2266988","2282158","2268482","2267967","2309345","2346526","2386430","2411803","2444831","2483247","2456263","2467628","2557962",
"Canada","CAN","Population, male","SP.POP.TOTL.MA.IN","9061136","9233088","9393474","9557206","9727345","9894308","10071677","10248482","10409199","10543934","10693060","11020264","11145914","11273787","11424105","11582471","11723914","11848574","11953673","12061154","12208861","12352193","12491539","12606617","12717147","12826484","12950918","13120761","13287281","13520912","13723253","13894281","14053053","14200363","14352168","14497158","14648447","14796996","14920341","15042362","15188055","15360826","15532792","15674662","15822784","15975662","16139677","16296084","16472578","16661983","16848382","17016358","17208263","17397233","17575548","17709821","17912345","18132886","18404527","18684549","18893273","18998959","19339314","19905091","20502744",
"Central Europe and the Baltics","CEB","Population, male","SP.POP.TOTL.MA.IN","44115155","44551162","44960746","45393489","45845477","46225267","46594228","47048835","47469537","47828606","48086585","48329369","48682688","49052074","49457166","49906784","50347797","50758585","51112443","51418815","51712042","52000869","52297334","52575780","52836224","53071308","53297708","53520473","53696861","53732794","53682714","53525399","53321540","53256530","53216649","53109951","52966903","52840042","52719564","52599987","52273521","51869226","51517081","51353527","51214063","51077189","50948675","50760510","50583338","50450933","50294386","50267469","50188303","50032451","49910059","49780100","49640556","49510566","49410944","49342084","49046937","48551779","48484682","48540523","48482114",
"Switzerland","CHE","Population, male","SP.POP.TOTL.MA.IN","2581188","2634953","2706397","2768612","2817732","2852729","2884863","2923076","2962212","2997435","3019595","3035263","3058016","3078825","3093265","3089698","3069779","3057543","3056362","3061787","3073998","3091788","3111336","3125614","3137708","3152706","3170046","3190802","3215295","3243118","3279419","3321633","3357974","3389086","3416337","3438795","3453366","3461536","3472045","3489759","3510334","3532614","3560724","3589358","3616152","3641621","3667017","3704392","3758140","3810007","3853210","3899835","3945368","3995302","4047989","4097673","4147468","4189963","4221838","4253116","4285901","4320579","4357730","4413928","4487921",
"Channel Islands","CHI","Population, male","SP.POP.TOTL.MA.IN","53764","54233","54800","55410","56039","56680","57334","57992","58629","59239","59871","60505","61077","61586","62039","62427","62674","62769","62816","62853","62885","63145","63712","64385","65080","65790","66475","67104","67715","68358","69130","69699","69873","69954","70014","70032","70197","70568","70953","71319","71641","72081","72717","73394","74076","74764","75445","76120","76795","77467","78129","78762","79364","79926","80447","80836","81046","81255","81556","81877","82161","82402","82618","82826","83015",
"Chile","CHL","Population, male","SP.POP.TOTL.MA.IN","4094992","4178710","4262771","4347212","4431192","4514249","4596655","4678394","4759423","4840391","4921083","5001297","5081787","5162676","5243581","5324795","5406694","5489022","5571235","5653385","5736382","5819999","5904124","5990376","6079377","6171461","6267100","6367051","6471188","6578587","6689387","6801566","6911900","7019948","7126034","7230587","7333069","7431499","7528225","7622824","7713694","7802404","7887814","7969843","8050167","8129901","8209190","8289657","8372794","8457837","8543399","8628448","8712256","8796396","8885067","8976465","9085689","9230995","9397629","9549157","9633238","9672367","9717972","9770154","9823449",
"China","CHN","Population, male","SP.POP.TOTL.MA.IN","341011330","337310877","339877862","348167169","356198706","364646229","374829786","384485211","394580628","405501096","416835310","428444433","439112280","449252980","458604540","466728314","473959602","480410995","486817376","493295797","499472148","505869564","513347110","520796989","527661546","534909219","542972673","551837452","560909187","569723655","578352840","586507148","593915998","600951517","607940432","614729283","621344315","627871814","634060140","639715135","644931057","649783015","654286852","658502230","662546994","666566056","670397796","674017492","677590179","681059114","684433912","688232696","692938430","697569984","701947368","705965479","709903858","714009290","717099161","719412319","720786535","721006989","720456300","719169536","717753173",
"Cote d'Ivoire","CIV","Population, male","SP.POP.TOTL.MA.IN","1855746","1926803","2003567","2084675","2169132","2256789","2347732","2442174","2540713","2645810","2760807","2887383","3025076","3171537","3324929","3484792","3628302","3757132","3894952","4042181","4199333","4365241","4538800","4718939","4905419","5097934","5295593","5498186","5707462","5926878","6158776","6403080","6658849","6924480","7198195","7480660","7772492","8073712","8381406","8656027","8895207","9133072","9369369","9603509","9836981","10072183","10309923","10550398","10815156","11105397","11401454","11702300","12001380","12294107","12612624","12966286","13331786","13697423","14056256","14413901","14767493","15121701","15491846","15869633","16246681",
"Cameroon","CMR","Population, male","SP.POP.TOTL.MA.IN","2521567","2548816","2592515","2652264","2713798","2777731","2844763","2915534","2990633","3070383","3154560","3242885","3335104","3430846","3530024","3632494","3733590","3833470","3941733","4056078","4192846","4345358","4451785","4545385","4675431","4819002","4968768","5124504","5282136","5441504","5606417","5774413","5944334","6118130","6294468","6471770","6650450","6831176","7016578","7207708","7402949","7603274","7813274","8032587","8259516","8493481","8733151","8984300","9247586","9518543","9796361","10079150","10368264","10664978","10993641","11344974","11689960","12026768","12364936","12713836","13064540","13415332","13772296","14140585","14514341",
"Congo, Dem. Rep.","COD","Population, male","SP.POP.TOTL.MA.IN","7295596","7497749","7707028","7925614","8150882","8387727","8642597","8912269","9191085","9474515","9762123","10045139","10327120","10619668","10919558","11225093","11531247","11838837","12225428","12677459","13095531","13496498","13921537","14384023","14887311","15403826","15910958","16434517","16982527","17539725","18142432","18766357","19419833","20133451","21117459","22018611","22442600","22800082","23418903","24204204","24987038","25793297","26594994","27384570","28206336","29091169","30007351","30934868","31887904","32894105","33964787","35103738","36301648","37563541","38864907","40175367","41630029","43187408","44662433","46104700","47616599","49185125","50798301","52483883","54216832",
"Congo, Rep.","COG","Population, male","SP.POP.TOTL.MA.IN","523419","537176","551497","566474","582184","598649","615907","633922","652771","672527","693178","714808","737446","760972","785207","807140","826472","845928","865548","885200","904909","924828","944780","964418","988873","1018783","1049524","1081133","1113482","1146785","1180711","1215527","1251186","1289599","1329188","1367967","1407310","1436608","1466963","1507459","1567367","1628784","1668686","1716978","1777731","1843982","1915267","1987462","2054563","2138890","2229859","2303914","2369540","2428079","2487644","2548660","2611267","2675610","2741740","2808562","2876520","2946068","3017464","3091229","3166095",
"Colombia","COL","Population, male","SP.POP.TOTL.MA.IN","7771209","8018493","8273498","8534320","8799798","9069523","9340471","9611124","9880746","10147043","10410304","10666932","10919767","11174927","11430947","11688282","11946933","12215636","12494975","12777886","13072046","13375805","13687577","14011464","14336946","14646940","14948029","15252450","15560724","15875265","16197632","16515771","16834498","17162346","17493607","17821401","18140058","18458959","18784170","19104954","19411115","19708939","20005151","20301319","20595401","20880218","21153219","21416887","21670024","21918269","22163441","22396798","22616962","22827016","23026431","23221563","23448707","23789069","24229130","24664044","25013101","25273270","25533693","25818556","26095271",
"Comoros","COM","Population, male","SP.POP.TOTL.MA.IN","97546","99290","101037","102778","104511","106187","108038","110629","113828","117230","120865","124776","128977","133466","138233","143190","148239","153352","158463","163518","168418","173092","177770","182624","187625","192768","198026","203351","208732","214191","219671","224798","229261","233335","237344","241332","245349","249425","253578","258353","263993","270197","276779","282498","287906","294034","300233","306493","312871","319396","326068","332922","339950","347714","356095","364397","372617","380484","388069","395681","403523","411524","419558","427697","435815",
"Cabo Verde","CPV","Population, male","SP.POP.TOTL.MA.IN","99183","101823","105561","109740","114012","118406","122959","127698","132638","137764","142441","145386","146525","147106","147767","148543","149313","149964","150581","151203","152276","154314","156907","159522","162095","164663","167264","169885","172517","175360","179406","184359","189155","193815","198327","202642","206742","210698","214537","218247","222057","226100","230121","233959","237640","241215","244737","248191","251493","254591","256964","258083","258510","258836","259089","259335","259635","260042","260565","261208","261787","262888","264410","265691","266947",
"Costa Rica","CRI","Population, male","SP.POP.TOTL.MA.IN","667110","692568","718581","744888","771283","797632","823808","849711","875017","899982","924970","949880","974836","999969","1025647","1052147","1079577","1108070","1137648","1168470","1200417","1233343","1267410","1302645","1338975","1376260","1414077","1451961","1489780","1527647","1566169","1605438","1645103","1685020","1724969","1764885","1804514","1843493","1881776","1919392","1955690","1990209","2022714","2053493","2083366","2113180","2142452","2171084","2200182","2229289","2256689","2283070","2309765","2335593","2360755","2385764","2409720","2432341","2454074","2474298","2490812","2502349","2512039","2523133","2534728",
